pmid,study,region,estimation_period,population,sample_size,method,parameter_type,estimate_measure,point_estimate,unit,uncertainty_type,uncertainty_level,uncertainty_low,uncertainty_high,distribution,notes,evidence_locations,project,ci_95_derived_lower,ci_95_derived_upper,ci_95_source
32928322,Haw/2020,"Philippines (National Capital Region, Luzon, Visayas, Mindanao)",Cases recorded up to 29 April 2020; followed until 22 May 2020,Laboratory-confirmed COVID-19 cases in the Philippines,55 pairs of index and secondary cases,"Clustering analysis using known epidemiologic links, exposure history and symptom onset for the first 100 confirmed COVID-19 cases where contact tracing was mandated by DOH guidelines; distributions fitted using Akaike information criterion (AIC)",serial_interval,mean,6.9,days,CI,95%,5.81,8.41,Weibull,Serial interval defined as time between symptom onset of index and secondary cases. Estimated from first 100 confirmed cases with contact tracing data.,"['Results paragraph 2', 'Figure 2', 'Methods / Statistical analysis']",p13,5.81,8.41,reported
33750783,Hu/2021,"Hunan Province, China","January 13 to April 02, 2020","1178 SARS-CoV-2 infected individuals and their 15,648 close contacts identified by contact tracing",245 transmission pairs,Maximum likelihood estimation with gamma distribution fitting; AIC for goodness of fit,serial_interval,mean,5.5,days,IQR,NR,0.8,9.4,gamma,"Median: 4.8 days. 14.0% (31/221) of empirical serial intervals were negative. Period-stratified estimates: mean 7.0 days (IQR: 3.5–10.1) for first period (up to Jan 23); mean 4.1 days (IQR: −1.1, 8.4) for second period (Jan 24–Apr 2).","['Results / Time-to-key-event distributions', 'Fig. 2']",p13,4.7023,6.2977,derived_from_iqr
33750783,Hu/2021,"Hunan Province, China","January 13 to April 02, 2020","1178 SARS-CoV-2 infected individuals and their 15,648 close contacts identified by contact tracing",268 confirmed cases with locally acquired infection belonging to 114 clusters,Maximum likelihood estimation with gamma distribution fitting; AIC for goodness of fit,generation_interval,mean,5.7,days,IQR,NR,4.5,6.8,gamma,Median: 5.5 days. SD: 1.8 days (reported in Discussion). Infectiousness peaked 1.8 days before symptom onset; 95% of transmission events occurred between 8.8 days before and 9.5 days after symptom onset.,"['Results / Time-to-key-event distributions', 'Discussion', 'Fig. 2']",p13,5.496,5.904,derived_from_iqr
32301964,Li/2020,"Zaoyang First People's Hospital and Chibi People's Hospital, Hubei, China (near Wuhan)","January 1 to February 20, 2020",105 index patients and 392 household contacts from 105 family clusters,64 secondary cases,Retrospective household cohort study; information extracted from medical records and confirmed by telephone interviews,serial_interval,median,6.0,days,IQR,NR,4.0,10.0,,Interval time defined as time from symptomatic onset of index cases to symptomatic onset of household contacts. 25th to 75th percentile reported as 4 to 10 days.,"['Results / Baseline characteristics of household contact patients', 'Table 2', 'Table 2 note']",p13,4.9111,7.0889,derived_from_iqr
32796323,Liu/2020,Taiwan,"January 28 to April 12, 2020",55 community-acquired COVID-19 cases in Taiwan,31 cases,Open-access data and press releases from Taiwan CDC; contact tracing; descriptive statistics,serial_interval,median,4.0,days,Range,,-3.0,24.0,,"Mean serial interval also reported: 5.1 days (SD 5.6 d). Two cases had negative serial intervals and two had a zero-serial interval, indicating presymptomatic transmission.","['Results section 3.5', 'Figure 3', 'Abstract']",p13,1.686,6.314,derived_from_range
33034281,Lu/2020,Mainland China,1 January to 11 February 2020,Laboratory-confirmed COVID-19 cases and identified transmission pairs from publicly accessible data,265 transmission pairs,"Parametric models (Weibull, gamma, log-logistic, log-normal) fitted using maximum likelihood with interval censoring; best fit selected by AIC",serial_interval,median,4.7,days,CI,95%,4.2,5.3,Weibull,"5th percentile: 0.9 days (95% CI: 0.6–1.2); 95th percentile: 12.4 days (95% CI: 11.0–13.7). By epidemic phase: before 25 Jan 2020 median 5.9 days (95% CI: 5.1–6.7, n=153); 25 Jan–11 Feb 2020 median 3.4 days (95% CI: 2.9–4.1, n=112). Gamma distribution also fitted well. No significant difference between northern and southern China.","['Abstract', 'Table 2', 'Results']",p13,4.2,5.3,reported
33034281,Lu/2020,Mainland China,1 January to 11 February 2020,Laboratory-confirmed COVID-19 cases and identified transmission pairs from publicly accessible data,223 transmission pairs,"Parametric models (log-logistic, Weibull) fitted using maximum likelihood with interval censoring; incubation period distribution assumed known and fixed",generation_interval,median,4.6,days,CI,95%,4.2,5.1,log-logistic,"5th percentile: 2.2 days (95% CI: 1.8–2.6); 95th percentile: 9.6 days (95% CI: 8.3–11.3). By epidemic phase: before 25 Jan 2020 median 4.8 days (95% CI: 4.3–5.3, n=134); 25 Jan–11 Feb 2020 median 3.7 days (95% CI: 3.0–4.5, n=89). No geographical heterogeneity observed.","['Abstract', 'Table 2', 'Results']",p13,4.2,5.1,reported
32738143,Thai/2020,Vietnam,23 January 2020 to 1 May 2020 (first 100 days),SARS-CoV-2 confirmed cases in Vietnam,33 infector-infectee pairs,"Serial intervals calculated from dates of symptom onset of infector-infectee pairs identified by contact tracing, fitted to a normal distribution by maximum likelihood",serial_interval,mean,3.24,days,CI,95%,1.38,5.1,normal,"SD of the serial interval distribution = 5.46 days (95% CI, 4.14–6.78 days). An estimated 27.5% (95% CI, 15.7%–40.0%) of the distribution was below zero, suggesting presymptomatic transmission.","['Results / Epidemiological Parameters Over Time', 'Figure 3D', 'Abstract']",p13,1.38,5.1,reported
32767657,Ren/2021,Provinces of mainland China outside Hubei province,Mid-January to early February 2020 (events reported by 29 January 2020),Earliest COVID-19 cases detected outside Hubei province; 64 clusters with 80 transmission events for serial interval analysis,80 transmission events,"Fitted normal distribution to serial intervals between illness onset dates of primary and secondary cases, allowing for negative and zero serial intervals, correcting for epidemic growth rates",serial_interval,mean,5.7,days,CI,95%,4.7,6.8,Normal,SD = 3.5 days. 4 negative serial intervals observed. Mean corrected for epidemic growth: μ' = μ + σ²ρ. 32/80 (40%) of transmission events were likely pre-symptomatic. Figure 2B caption mentions gamma distribution but text consistently describes normal distribution fitting.,"['Abstract', 'Results paragraph 3', 'Figure 2B']",p13,4.7,6.8,reported
32191173,Du/2020,Mainland China outside Hubei Province,"January 21–February 8, 2020",468 COVID-19 transmission events reported in mainland China outside Hubei Province; 752 case-patients from 93 cities,468 transmission events,Confirmed cases compiled from online reports from 18 provincial centers for disease control and prevention,serial_interval,mean,3.96,days,CI,95%,3.53,4.39,normal,"SD 4.75 days (95% CI 4.46–5.07). 12.6% of serial intervals were negative, indicating presymptomatic transmission. Subgroup estimates: index case imported mean 4.06 (95% CI 3.55–4.57); index case locally infected mean 3.66 (95% CI 2.84–4.47); within household mean 4.03 (95% CI 3.12–4.94); outside household mean 4.56 (95% CI 3.85–5.27).","['Abstract', 'Results paragraph 2', 'Figure']",p13,3.53,4.39,reported
33044319,Pung/2021,Singapore,"January 23, 2020 to March 15, 2020 (n=1000 cases); as of April 1, 2020",Confirmed COVID-19 cases in Singapore,1000 cases (21 asymptomatic cases excluded from serial interval analysis),Bayesian data augmentation framework with Markov chain Monte Carlo sampling; adapted Wallinga and Teunis method to estimate serial interval distribution parameters and effective reproduction number,serial_interval,mean,4.6,days,CrI,95%,4.2,5.1,Gamma distribution with shape μσ⁻¹ and rate μσ⁻²,"SD of serial interval also reported: 3.5 days (95% CrI = 3.1, 4.0). 21 asymptomatic cases excluded as their serial interval was undefined.","['Results / Modeling Results paragraph 1', 'Figure 3', 'Methods / Estimating the Serial Interval and Effective Reproduction Number']",p13,4.2,5.1,reported
33035448,Chaw/2020,Brunei,"March–April 2020 (first case March 9, 2020; data through first week of April 2020)",Tablighi Jama'at community cluster; 71 cases linked to an international SSE,35 symptomatic infector–infectee pairs,Contact tracing using WHO first few cases protocol; serial interval calculated by subtracting date of symptom onset of infectee from date of symptom onset of infector,serial_interval,mean,4.26,days,SD,,,,normal,SD ± 4.27 days; range -4 to 17 days; 4 (11.4%) pairs had negative serial interval values; distribution resembled a normal distribution per Appendix Figure 1,"['Results / Epidemiologic Characteristics paragraph 2', 'Methods / Data Analysis', 'Appendix Figure 1']",p13,,,missing
32244365,Li et al.,Wuhan,NR,"infector-infectee pairs, confirmed COVID-19 cases",6 pairs,NR,serial_interval,mean,7.5,days,CI,95%,5.3,19.0,,Published article. Small sample size (6 pairs) noted in discussion as limitation.,"['Table 4', 'Section 3.2.3']",p13,5.3,19.0,reported
32244365,Ki,Korea,NR,"infector-infectee pairs, confirmed COVID-19 cases",7 pairs,NR,serial_interval,mean,4.6,days,Range,,3.0,9.0,,Published article. Text specifies range (3.0-9.0) rather than CI; Table 4 column header says 95% CI but values are a range per the narrative.,"['Table 4', 'Section 3.2.3']",p13,2.9712,6.2288,derived_from_range
32244365,Du et al.,China (excl. Hubei),NR,"infector-infectee pairs, confirmed COVID-19 cases",468 pairs,NR,serial_interval,mean,3.96,days,CI,95%,3.53,4.39,,"Preprint. 12.6% of pairs (59/468) had negative serial intervals, suggesting pre-symptomatic transmission.","['Table 4', 'Section 3.2.3']",p13,3.53,4.39,reported
32244365,Zhang et al.,China (excl. Hubei),NR,"infector-infectee pairs, confirmed COVID-19 cases",35 pairs,NR,serial_interval,mean,5.1,days,CI,95%,1.3,11.6,,Preprint.,['Table 4'],p13,1.3,11.6,reported
32244365,Nishiura et al.,Global,NR,"infector-infectee pairs, confirmed COVID-19 cases",28 pairs,NR,serial_interval,median,4.0,days,CrI,95%,3.1,4.9,,Preprint. Median estimate. Same study as 18-pair estimate but different sample/setting.,"['Table 4', 'Section 3.2.3']",p13,3.1,4.9,reported
32244365,Nishiura et al.,Global,NR,"infector-infectee pairs, confirmed COVID-19 cases",18 pairs,NR,serial_interval,median,4.6,days,CrI,95%,3.5,5.9,,Preprint. Median estimate. Same study as 28-pair estimate but different sample/setting.,['Table 4'],p13,3.5,5.9,reported
32244365,S. Zhao et al.,Hong Kong,NR,"infector-infectee pairs, confirmed COVID-19 cases",21 pairs,NR,serial_interval,median,4.4,days,CI,95%,2.9,6.7,,Preprint. Review text describes this alongside Nishiura et al. as a median estimate; original paper may report mean.,"['Table 4', 'Section 3.2.3']",p13,2.9,6.7,reported
33234640,Li et al,"Wuhan, China",NR,COVID-19 infector-infectee pairs,6,Rapid review; parameters extracted from included primary studies,serial_interval,mean,7.5,days,CI,95%,5.3,19.0,,Early Wuhan estimates; small sample size,['Table 1'],p13,5.3,19.0,reported
33234640,Wang et al (Wuhan),"Wuhan, China",NR,COVID-19 infector-infectee pairs,9,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.2,days,CI,95%,3.8,6.8,,Nosocomial outbreak in Wuhan,['Table 1'],p13,3.8,6.8,reported
33234640,Yang et al,"Hubei province, China",NR,COVID-19 infector-infectee pairs,131,Rapid review; parameters extracted from included primary studies,serial_interval,median,4.6,days,CI,95%,3.7,5.5,,Only median reported; 131 transmission chains,['Table 1'],p13,3.7,5.5,reported
33234640,Du et al,"Outside Hubei province, China",NR,COVID-19 infector-infectee pairs,468,Rapid review; parameters extracted from included primary studies,serial_interval,mean,3.96,days,CI,95%,3.53,4.39,,Normal distribution recommended by authors; 59 of 468 reports had infectee symptoms earlier than infector,['Table 1'],p13,3.53,4.39,reported
33234640,Ren et al,"Outside Hubei province, China",NR,COVID-19 infector-infectee pairs,80,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.7,days,CI,95%,4.7,6.8,,,['Table 1'],p13,4.7,6.8,reported
33234640,Zhang et al,"Outside Hubei province, China",NR,COVID-19 infector-infectee pairs,35,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.1,days,CI,95%,1.3,11.6,,Household clusters; authors note estimates may be 20% shorter than true value,['Table 1'],p13,1.3,11.6,reported
33234640,Ali et al,"Outside Hubei province, China",NR,COVID-19 infector-infectee pairs,677,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.1,days,CI,95%,4.7,5.5,,Normal distribution used; serial interval shortened from 7.8 to 2.6 days over 1 month due to NPIs,['Table 1'],p13,4.7,5.5,reported
33234640,Xu et al,"Outside Hubei province, China",NR,COVID-19 infector-infectee pairs,1407,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.1,days,CI,95%,4.7,5.5,,Normal distribution used; same dataset may overlap with Ali et al,['Table 1'],p13,4.7,5.5,reported
33234640,You et al,"Outside Hubei province, China",NR,COVID-19 infector-infectee pairs,198,Rapid review; parameters extracted from included primary studies,serial_interval,mean,4.6,days,,,,,,Median also reported: 4.0 days; no CI reported,['Table 1'],p13,,,missing
33234640,Huang et al,"Outside Wuhan, China",NR,COVID-19 infector-infectee pairs; aged 16-23 years,7,Rapid review; parameters extracted from included primary studies,serial_interval,median,1.0,days,,,,,,Only median reported; young adults aged 16-23; very short median likely reflects asymptomatic/presymptomatic transmission,['Table 1'],p13,,,missing
33234640,Wang et al (Beijing),"Beijing, China",NR,COVID-19 infector-infectee pairs,76,Rapid review; parameters extracted from included primary studies,serial_interval,mean,7.6,days,CI,95%,6.4,8.9,,Median also reported: 6.0 days (no CI); highest mean SI in review,['Table 1'],p13,6.4,8.9,reported
33234640,Bi et al,"Shenzhen, China",NR,COVID-19 infector-infectee pairs,48,Rapid review; parameters extracted from included primary studies,serial_interval,mean,6.3,days,CI,95%,5.2,7.6,,"Median also reported: 5.4 days; stratified results show SI=3.6 days if infector isolated <3 days after onset, 8.1 days if isolated >=3 days",['Table 1'],p13,5.2,7.6,reported
33234640,Wang et al (Shenzhen),"Shenzhen, China",NR,COVID-19 infector-infectee pairs,27,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.9,days,CI,95%,3.9,9.6,,Interval-censored likelihood used to allow for multiple infectors,['Table 1'],p13,3.9,9.6,reported
33234640,Qin et al,"Lu'an, China",NR,COVID-19 infector-infectee pairs,32,Rapid review; parameters extracted from included primary studies,serial_interval,mean,6.5,days,CI,95%,4.8,8.2,,Method for obtaining CIs unclear per review authors,['Table 1'],p13,4.8,8.2,reported
33234640,Liao et al,"Chongqing University, China",NR,COVID-19 infector-infectee pairs; adolescents and young adults,12,Rapid review; parameters extracted from included primary studies,serial_interval,mean,6.5,days,CI,95%,2.5,17.4,,Median also reported: 1.9 days (95% CI: 0.4-6.2); review authors could not replicate summary statistics; estimates for adolescents and young adults,['Table 1'],p13,2.5,17.4,reported
33234640,Wang and Teunis,"Tianjin, China",NR,COVID-19 infector-infectee pairs,Not clear,Rapid review; parameters extracted from included primary studies,serial_interval,mean,4.8,days,,,,,,No CI reported; number of pairs not clear,['Table 1'],p13,,,missing
33234640,Wu et al (Zhuhai),"Zhuhai, China",NR,COVID-19 infector-infectee pairs; household transmission,48,Rapid review; parameters extracted from included primary studies,serial_interval,mean,6.3,days,,,,,,Median also reported: 5.1 days (95% CI: 4.3-6.2); household transmission study,['Table 1'],p13,,,missing
33234640,Zhao et al,"Hong Kong and Shenzhen, China",NR,COVID-19 infector-infectee pairs,48,Rapid review; parameters extracted from included primary studies; regression model,serial_interval,mean,5.2,days,,,,,,Regression model used; SI decreased 6.2% per day (95% CI: 0.4-11.6%) from Jan 10 to Feb 15; male infectors associated with shorter SI,['Table 1'],p13,,,missing
33234640,Kwok et al (all pairs),"Hong Kong, China",NR,COVID-19 infector-infectee pairs,26,Rapid review; parameters extracted from included primary studies,serial_interval,mean,4.77,days,CI,95%,3.47,6.9,,Based on all 26 pairs,['Table 1'],p13,3.47,6.9,reported
33234640,Kwok et al (most reliable pairs),"Hong Kong, China",NR,COVID-19 infector-infectee pairs (most reliable infector-infectee relationship),17,Rapid review; parameters extracted from included primary studies,serial_interval,mean,6.23,days,CI,95%,4.71,8.63,,Estimate based only on 17 pairs where infector-infectee relationship was considered most reliable,['Table 1'],p13,4.71,8.63,reported
33234640,Bao et al,China (location not clear),NR,COVID-19 infector-infectee pairs,54,Rapid review; parameters extracted from included primary studies,serial_interval,mean,4.4,days,CI,95%,3.3,5.4,,Gamma distribution fitted but insufficient parameters to simulate per review authors,['Table 1'],p13,3.3,5.4,reported
33234640,Liu et al,Taiwan,NR,COVID-19 infector-infectee pairs,31,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.1,days,,,,,,Median also reported: 4 days; no CI reported,['Table 1'],p13,,,missing
33234640,Pung et al,Singapore,NR,COVID-19 infector-infectee pairs,3,Rapid review; parameters extracted from included primary studies,serial_interval,other,,days,,,,,,"No mean or median reported; individual pair values were 3, 4, and 8 days; only 3 pairs",['Table 1'],p13,,,missing
33234640,Chun et al,South Korea,NR,COVID-19 infector-infectee pairs,69,Rapid review; parameters extracted from included primary studies,serial_interval,median,3.56,days,CI,95%,2.72,4.44,,Only median reported; transmission onset distribution,['Table 1'],p13,2.72,4.44,reported
33234640,Bae et al,South Korea,NR,COVID-19 infector-infectee pairs,Not clear,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.2,days,SD,,,,,SD reported: ±3.8 days; number of pairs not clear,['Table 1'],p13,,,missing
33234640,Mettler et al,South Korea,NR,COVID-19 infector-infectee pairs,102,Rapid review; parameters extracted from included primary studies,serial_interval,mean,3.43,days,CI,95%,2.62,4.24,,Authors proposed diagnostic serial interval as new indicator; right truncation bias highlighted,['Table 1'],p13,2.62,4.24,reported
33234640,Son et al,"Busan, South Korea",NR,COVID-19 infector-infectee pairs,28,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.54,days,CI,95%,4.08,7.01,,,['Table 1'],p13,4.08,7.01,reported
33234640,Ki et al,South Korea,NR,COVID-19 infector-infectee pairs,12,Rapid review; parameters extracted from included primary studies,serial_interval,mean,6.6,days,,,,,,Median also reported: 4.0 days; review authors could not replicate summary statistics,['Table 1'],p13,,,missing
33234640,Pham et al,Vietnam,NR,COVID-19 infector-infectee pairs,33,Rapid review; parameters extracted from included primary studies,serial_interval,mean,3.24,days,CI,95%,1.38,5.1,,,['Table 1'],p13,1.38,5.1,reported
33234640,Wong et al,Brunei,NR,COVID-19 infector-infectee pairs,59,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.4,days,CI,95%,4.3,6.5,,,['Table 1'],p13,4.3,6.5,reported
33234640,Aghaali et al,"Qom, Iran",NR,COVID-19 infector-infectee pairs,37,Rapid review; parameters extracted from included primary studies,serial_interval,mean,4.55,days,,,,,,No CI reported; right truncation bias highlighted by authors,['Table 1'],p13,,,missing
33234640,Najafi et al,Western Iran,NR,COVID-19 infector-infectee pairs,21,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.71,days,,,,,,No CI reported,['Table 1'],p13,,,missing
33234640,Prete et al,Brazil,NR,COVID-19 infector-infectee pairs,65,Rapid review; parameters extracted from included primary studies,serial_interval,mean,3.03,days,CI,95%,2.26,3.73,,Median also reported: 3.00 days; normal distribution fitted; lowest mean SI in review,['Table 1'],p13,2.26,3.73,reported
33234640,Lavezzo et al,"Municipality of Vo', Italy",NR,COVID-19 infector-infectee pairs,Not clear,Rapid review; parameters extracted from included primary studies,serial_interval,mean,7.2,days,CI,95%,5.9,9.6,,Number of pairs not clear; 81 individuals tested positive; SI reduced from 7.6 days before control measures to 6.2 days after,['Table 1'],p13,5.9,9.6,reported
33234640,Böhmer et al,Germany,NR,COVID-19 infector-infectee pairs,11,Rapid review; parameters extracted from included primary studies,serial_interval,median,4.0,days,,,,,,Only median reported; no CI; outbreak investigation from single travel-associated primary case,['Table 1'],p13,,,missing
33234640,Ferretti et al,"China, Taiwan, South Korea, Vietnam, Singapore, Germany, Italy",NR,COVID-19 infector-infectee pairs,40,Rapid review; parameters extracted from included primary studies,generation_interval,mean,5.0,days,,,,,,Generation time reported; median also 5.0 days; only generation time reported (not serial interval),['Table 1'],p13,,,missing
33234640,Ganyani et al (Singapore),Singapore,NR,COVID-19 infector-infectee pairs,91 cases,Rapid review; parameters extracted from included primary studies; MCMC approach,serial_interval,mean,5.21,days,CI,95%,-3.35,13.94,,Very wide CI including negative values; generation time also reported: mean 5.20 days (95% CI: 3.78-6.78); number of inferred pairs not clear; MCMC used; methodology subsequently questioned by Bacallado et al,['Table 1'],p13,-3.35,13.94,reported
33234640,Ganyani et al (Tianjin),"Tianjin, China",NR,COVID-19 infector-infectee pairs,135 cases,Rapid review; parameters extracted from included primary studies; MCMC approach,serial_interval,mean,3.95,days,CI,95%,-4.47,12.51,,Very wide CI including negative values; generation time also reported: mean 3.95 days (95% CI: 3.01-4.91); number of inferred pairs not clear; MCMC used; same study period as Tindale et al for Tianjin,['Table 1'],p13,-4.47,12.51,reported
33234640,He et al,"China, Taiwan, Japan, Vietnam, Malaysia, Singapore, USA",NR,COVID-19 infector-infectee pairs,77,Rapid review; parameters extracted from included primary studies,serial_interval,mean,5.8,days,CI,95%,4.8,6.8,,Median also reported: 5.2 days (95% CI: 4.1-6.4); most pairs from China; shifted lognormal or shifted gamma distribution used,['Table 1'],p13,4.8,6.8,reported
33234640,Nishiura et al (all pairs),"China, Taiwan, South Korea, Vietnam, Singapore, Germany",NR,COVID-19 infector-infectee pairs,28,Rapid review; parameters extracted from included primary studies,serial_interval,mean,4.7,days,CI,95%,3.7,6.6,,Median also reported: 4.0 days (95% CI: 3.1-4.9); based on all 28 pairs,['Table 1'],p13,3.7,6.6,reported
33234640,Nishiura et al (most reliable pairs),"China, Taiwan, South Korea, Vietnam, Singapore, Germany",NR,COVID-19 infector-infectee pairs (most certain infector-infectee relationship),18,Rapid review; parameters extracted from included primary studies,serial_interval,mean,4.8,days,CI,95%,3.8,6.1,,Median also reported: 4.6 days (95% CI: 3.5-5.9); estimate based only on 18 most certain pairs,['Table 1'],p13,3.8,6.1,reported
33234640,Tindale et al (Singapore),Singapore,NR,COVID-19 infector-infectee pairs,56 pairs inferred from 91 cases,Rapid review; parameters extracted from included primary studies; mixture model approach,serial_interval,mean,4.17,days,CI,95%,2.44,5.89,,56 pairs inferred from 91 cases; not clear if all used in parameter estimation; mixture model used to avoid assuming presumed infector is always true infector; same study period as Ganyani et al for Singapore,['Table 1'],p13,2.44,5.89,reported
33234640,Tindale et al (Tianjin),"Tianjin, China",NR,COVID-19 infector-infectee pairs,72 pairs inferred from 135 cases,Rapid review; parameters extracted from included primary studies; mixture model approach,serial_interval,mean,4.31,days,CI,95%,2.91,5.72,,72 pairs inferred from 135 cases; not clear if all used in parameter estimation; mixture model used; same study period as Ganyani et al for Tianjin,['Table 1'],p13,2.91,5.72,reported
33234640,Wu et al (multi-country),"China, Taiwan, Singapore, Vietnam, Malaysia, USA",NR,COVID-19 infector-infectee pairs,43,Rapid review; parameters extracted from included primary studies,serial_interval,mean,7.0,days,CI,95%,5.8,8.1,,Multi-country pairs; small numbers from some countries may not be representative,['Table 1'],p13,5.8,8.1,reported
32473049,Aghaali/2020,"Qom, Iran",Beginning 20 February 2020; early phase of the outbreak,"51 index cases with laboratory-confirmed COVID-19 and their 318 close contacts in Qom, Iran",37 infector–infected pairs,Contact tracing with daily phone follow-up for 21 days; serial interval estimated from symptom onset in index cases to symptom onset in close contacts; gamma distribution fitted,serial_interval,mean,4.55,days,SD,,,,gamma,Mean serial interval = 4.55 days with SD = 3.30 days. Based on 37 infector–infected pairs from 51 index cases and 318 close contacts. Secondary cases diagnosed by chest CT scan due to limited PCR availability. Patients with less than 24-hr interval between symptom onset and primary cases were not considered secondary cases.,"['Abstract', 'Results / Generation time section', 'Figure 2']",p12,,,missing
32694200,Ali/2020,Mainland China (outside Hubei province),9 January to 13 February 2020,Confirmed COVID-19 cases with identified transmission pairs; infectors who developed symptoms during study period,677 transmission pairs,Line-list database of transmission pairs; serial interval computed as days between symptom-onset dates of infector and infectee; normal distribution fitted via MCMC,serial_interval,mean,5.1,days,CrI,95%,4.7,5.5,Normal,"Overall estimate for whole study period. SD estimated at 5.3 days (95% CrI: 5.0, 5.6). Period-stratified means: prepeak 7.8, peak 5.1, postpeak 2.6 days.","['Results paragraph 3', 'Fig. 1', 'table S2']",p12,4.7,5.5,reported
32694200,Ali/2020,Mainland China (outside Hubei province),9 to 22 January 2020 (prepeak),Confirmed COVID-19 cases with identified transmission pairs; infectors who developed symptoms during prepeak period,162 transmission pairs,Line-list database of transmission pairs; serial interval computed as days between symptom-onset dates of infector and infectee; normal distribution fitted via MCMC,serial_interval,mean,7.8,days,CrI,95%,7.0,8.6,Normal,"Prepeak period estimate. SD estimated at 5.2 days (95% CrI: 4.7, 5.9). Running 14-day window for same period yielded identical estimate.","['Results paragraph 4', 'Fig. 1', 'table S2']",p12,7.0,8.6,reported
32694200,Ali/2020,Mainland China (outside Hubei province),23 to 29 January 2020 (peak week),Confirmed COVID-19 cases with identified transmission pairs; infectors who developed symptoms during peak week,339 transmission pairs,Line-list database of transmission pairs; serial interval computed as days between symptom-onset dates of infector and infectee; normal distribution fitted via MCMC,serial_interval,mean,5.1,days,CrI,95%,4.6,5.7,Normal,"Peak week estimate. SD estimated at 5.0 days (95% CrI: 4.6, 5.4).","['Results paragraph 4', 'Fig. 1', 'table S2']",p12,4.6,5.7,reported
32694200,Ali/2020,Mainland China (outside Hubei province),30 January to 13 February 2020 (postpeak),Confirmed COVID-19 cases with identified transmission pairs; infectors who developed symptoms during postpeak period,176 transmission pairs,Line-list database of transmission pairs; serial interval computed as days between symptom-onset dates of infector and infectee; normal distribution fitted via MCMC,serial_interval,mean,2.6,days,CrI,95%,1.9,3.2,Normal,"Postpeak period estimate. SD estimated at 4.6 days (95% CrI: 4.2, 5.1). Running 14-day window for last 14 days yielded mean 2.2 (95% CrI: 1.5, 2.9).","['Results paragraph 4', 'Fig. 1', 'table S2']",p12,1.9,3.2,reported
32353347,Bi/2020,"Shenzhen, China","Jan 14 to Feb 12, 2020",391 SARS-CoV-2 cases and 1286 close contacts identified by Shenzhen CDC,48 case-contact pairs,Retrospective cohort study; parametric distributions fitted to serial interval data from contact tracing,serial_interval,mean,6.3,days,CI,95%,5.2,7.6,gamma,"Median 5.4 days (95% CI 4.4-6.5); SD 4.2 days (95% CI 3.1-5.3); 5th percentile 1.3 days (95% CI 0.9-1.9); 95th percentile 14.3 days (95% CI 11.1-17.6). Estimate includes effect of isolation on truncating the serial interval. Stratified: if infected individual isolated <3 days after symptom onset, mean serial interval 3.6 days; if isolated ≥3 days after onset, mean 8.1 days.","['Results paragraph on serial interval (48 pairs)', 'Figure 1 caption', 'Summary/Findings']",p12,5.2,7.6,reported
34814093,Cereda et al. 2020,"Lombardy Region, Italy",20 February – 9 March 2020,Close contacts of confirmed COVID-19 cases identified through contact tracing,90 infector-infectee pairs (55 unique primary cases),Gamma distribution fitted to individual serial intervals by maximum likelihood estimation,serial_interval,mean,6.6,days,Other,,,,gamma,"Gamma distribution parameters: shape 1.87 (SD 0.26), scale 0.28 (SD 0.04). Median 5.5 days also reported. Of 6,106 reported contacts, 233 resulted in infection; 90 pairs had infector-infectee relationship with symptom onset dates for both. Sensitivity analyses used serial interval means of 5.1 days (from Wuhan) and 7.5 days (from Chinese provinces outside Hubei).","['Section 4 (Serial interval distribution)', 'Figure S1']",p12,,,missing
34814093,Cereda et al. 2020,"Lombardy Region, Italy",20 February – 9 March 2020,Close contacts of confirmed COVID-19 cases identified through contact tracing,90 infector-infectee pairs (55 unique primary cases),Gamma distribution fitted to individual serial intervals by maximum likelihood estimation,serial_interval,median,5.5,days,,,,,gamma,"Gamma distribution parameters: shape 1.87 (SD 0.26), scale 0.28 (SD 0.04). Mean 6.6 days also reported.","['Section 4 (Serial interval distribution)', 'Figure S1']",p12,,,missing
